Unique_ID,First_Name,Last_Name,Age_at_First_Offense,Current_Age,Gender,Education_Level,Employment_Status,Marital_Status,Substance_Abuse_History,Mental_Health_Issues,Family_Criminal_History,Prior_Convictions,Type_of_Crimes_Committed,Length_of_Prison_Stay,In_Prison_Behavior,Discharge_Status,Neighborhood_Crime_Rates,Access_to_Support_Services,Social_Support,Recidivism_of_Peers,Number_of_Reoffenses,Socioeconomic_Status,Dependents,Gang_Affiliation,Committed_Juvenile_Crime,Address
36,Charan,Kanda,23,68,Female,Primary,Employed,Divorced,Yes,No,No,1,Murder,12,Poor,Parole,3.56,Yes,Strong,High,3,High,3,No,Yes,"79, Mohan, Bhimavaram 367087"
37,Tarak,Upadhyay,21,35,Female,Primary,Employed,Married,Yes,Yes,Yes,3,Murder,17,Average,Escaped,6.81,No,Moderate,High,3,High,4,No,No,"H.No. 958, Ramaswamy Ganj, Bhind 074735"
38,Zaitra,Nagi,20,67,Female,Higher Secondary,Unemployed,Married,Yes,No,Yes,5,Drug Trafficking,19,Good,Escaped,9.76,Yes,Moderate,High,3,High,4,No,Yes,"H.No. 01, Wadhwa Road, Ambala 486665"
39,Shaurya,Chahal,16,51,Male,Graduate,Employed,Divorced,Yes,No,No,0,Murder,3,Average,Parole,9.87,No,Weak,Low,4,Low,0,Yes,No,"735, Ray Circle, Kharagpur 234464"
40,Udant,Sane,23,32,Female,Secondary,Unemployed,Divorced,Yes,No,No,6,Fraud,8,Average,Completed Sentence,3.73,No,Weak,High,2,Low,2,Yes,No,"28/99, Cherian Nagar, Jehanabad 315059"
41,Amrita,Ghosh,29,69,Male,Postgraduate,Employed,Divorced,No,No,No,0,Cybercrime,8,Poor,Escaped,8.44,No,Strong,High,5,Middle,1,Yes,No,"22/45, Ratta Ganj, Giridih 030572"
42,Lajita,Ganesan,25,50,Male,No Formal Education,Employed,Divorced,No,No,Yes,4,Drug Trafficking,5,Poor,Escaped,9.54,Yes,Moderate,High,2,High,1,No,Yes,"42, Barman Road, Imphal-162535"
43,Karan,Khatri,13,23,Other,Secondary,Self-Employed,Widowed,Yes,No,Yes,5,Fraud,6,Poor,Completed Sentence,4.35,Yes,Strong,High,2,Middle,1,Yes,No,"H.No. 662, Chauhan Path, Indore 165032"
44,Kamala,Dube,20,59,Female,Graduate,Unemployed,Single,No,Yes,No,9,Cybercrime,9,Poor,Parole,4.18,No,Weak,High,1,Middle,5,No,No,"81/015, Bajaj, Sambhal 256673"
45,Vincent,Gara,16,50,Other,Graduate,Self-Employed,Widowed,No,No,Yes,10,Fraud,18,Poor,Completed Sentence,9.32,No,Moderate,Moderate,4,Low,5,No,Yes,"472, Varma Ganj, Sambalpur-849278"
46,Jagat,Chawla,27,61,Other,Graduate,Unemployed,Single,No,No,No,7,Cybercrime,9,Good,Parole,2.8,Yes,Strong,Moderate,2,Low,3,Yes,Yes,"H.No. 572, Shan Ganj, Surendranagar Dudhrej-222694"
47,Aarush,Sunder,11,30,Female,Postgraduate,Employed,Widowed,No,Yes,No,4,Fraud,1,Poor,Parole,6.59,No,Weak,Moderate,4,Middle,0,No,No,"H.No. 167, Sama Road, Proddatur 807442"
48,Eta,Ramachandran,10,45,Female,Primary,Employed,Divorced,No,Yes,No,3,Cybercrime,20,Average,Completed Sentence,6.77,No,Weak,Moderate,2,Middle,4,No,Yes,"117, Prasad Marg, Avadi-784303"
49,Wakeeta,Jani,16,47,Female,Graduate,Employed,Married,No,No,No,6,Cybercrime,18,Poor,Completed Sentence,7.18,No,Moderate,Moderate,3,High,4,No,Yes,"76/247, Mital Nagar, Tinsukia-075413"
50,Yashasvi,Swamy,16,66,Other,Graduate,Employed,Married,Yes,Yes,No,7,Murder,5,Good,Escaped,4.82,Yes,Strong,Low,4,Middle,0,No,No,"81, Parekh Marg, Hyderabad-448154"
51,Yuvraj,Parekh,13,33,Male,Higher Secondary,Self-Employed,Divorced,No,Yes,Yes,10,Theft,19,Poor,Escaped,1.83,Yes,Weak,Low,4,High,2,No,No,"H.No. 01, Sama Road, South Dumdum 481600"
52,Amol,Bahl,27,43,Male,Postgraduate,Employed,Divorced,No,No,Yes,1,Theft,8,Average,Parole,3.82,No,Weak,Moderate,4,Middle,2,No,No,"45/737, Majumdar Path, Satara-237372"
53,Zilmil,Dugar,15,50,Female,Graduate,Employed,Married,No,No,Yes,4,Theft,7,Good,Escaped,6.56,Yes,Strong,Moderate,1,Low,1,No,Yes,"16/561, Barad Zila, Chennai-357426"
54,Oeshi,Bedi,20,46,Female,Secondary,Self-Employed,Widowed,Yes,Yes,Yes,6,Murder,8,Poor,Parole,3.76,Yes,Weak,Moderate,3,Low,0,No,No,"80/47, Apte Zila, Thoothukudi 039675"
55,Chameli,Suri,15,58,Other,Primary,Unemployed,Widowed,Yes,No,Yes,4,Drug Trafficking,15,Poor,Completed Sentence,8.01,Yes,Moderate,Moderate,5,Middle,5,No,No,"H.No. 55, Divan Road, Ramagundam 275457"
56,Dev,Bansal,12,21,Female,No Formal Education,Unemployed,Divorced,Yes,Yes,No,4,Murder,18,Poor,Completed Sentence,5.75,No,Moderate,Low,3,Low,5,No,No,"387, Mody Road, Burhanpur-546232"
57,Simon,Bala,30,40,Male,Primary,Unemployed,Single,Yes,No,No,3,Assault,7,Good,Parole,3.38,Yes,Moderate,High,5,Middle,1,Yes,Yes,"99/35, Guha Nagar, Nangloi Jat-555734"
58,Nandini,Bali,13,34,Male,Secondary,Self-Employed,Widowed,No,Yes,Yes,5,Fraud,14,Poor,Escaped,6.34,Yes,Moderate,Low,5,High,2,Yes,No,"364, Garde Path, Tinsukia 870296"
59,Benjamin,Sangha,15,68,Male,Primary,Self-Employed,Married,No,Yes,No,5,Drug Trafficking,7,Good,Escaped,2.49,No,Strong,Moderate,1,Middle,1,Yes,No,"H.No. 506, Warrior Chowk, Secunderabad-703076"
60,Jeremiah,Sampath,14,48,Male,No Formal Education,Employed,Divorced,Yes,No,Yes,8,Drug Trafficking,11,Poor,Escaped,3.09,Yes,Weak,Low,4,Middle,0,No,No,"H.No. 29, Murthy, Siwan-925013"
61,Naveen,Chakrabarti,25,53,Other,Primary,Unemployed,Divorced,No,No,Yes,10,Murder,13,Good,Parole,7.09,No,Moderate,Low,3,Middle,1,No,Yes,"70, Bhat Chowk, Phagwara-244602"
62,Manthan,Pillai,10,46,Female,Postgraduate,Employed,Single,No,No,No,4,Fraud,9,Average,Completed Sentence,5.81,No,Weak,Moderate,4,Low,4,No,Yes,"503, Pillai Chowk, Muzaffarpur-804413"
63,Lipika,Varty,29,37,Female,Graduate,Employed,Married,Yes,Yes,Yes,3,Fraud,18,Poor,Escaped,8.7,No,Weak,Low,2,High,4,Yes,Yes,"41/835, Balay Marg, Gopalpur-132739"
64,Lekha,Goyal,16,31,Other,Postgraduate,Self-Employed,Widowed,Yes,No,Yes,5,Murder,11,Average,Escaped,1.16,Yes,Moderate,Low,0,Middle,3,Yes,Yes,"97, Comar Zila, Jamshedpur-440426"
65,Ayush,Gokhale,22,24,Other,Higher Secondary,Unemployed,Widowed,No,Yes,No,1,Assault,18,Poor,Escaped,3.29,Yes,Strong,Moderate,1,Low,5,No,Yes,"80, Sinha Marg, Akola-913012"
66,Watika,Din,12,25,Female,No Formal Education,Unemployed,Widowed,No,Yes,No,7,Drug Trafficking,2,Average,Escaped,7.18,No,Moderate,Moderate,2,Middle,2,No,Yes,"391, Chawla Road, Naihati 099843"
67,Odika,Yohannan,10,25,Male,No Formal Education,Self-Employed,Widowed,No,Yes,Yes,4,Assault,14,Good,Completed Sentence,1.41,Yes,Weak,High,2,Low,5,No,No,"H.No. 84, Agarwal Circle, Akola-653217"
68,Anirudh,Chander,30,69,Male,Higher Secondary,Employed,Married,Yes,Yes,No,4,Theft,1,Good,Escaped,8.77,Yes,Moderate,Moderate,4,Middle,0,Yes,Yes,"45/87, Madan, Gwalior-592653"
69,Anjali,Ravi,23,27,Female,Secondary,Self-Employed,Widowed,Yes,Yes,No,4,Theft,2,Poor,Parole,8.35,No,Strong,Moderate,3,High,1,Yes,Yes,"503, Virk Zila, Chittoor 880422"
70,Radhika,Dalal,23,48,Female,Graduate,Employed,Single,No,No,Yes,10,Cybercrime,14,Poor,Parole,2.48,Yes,Strong,Moderate,5,Middle,2,Yes,Yes,"648, Sule Circle, Rohtak 556689"
71,Zehaan,Tailor,25,37,Female,Higher Secondary,Employed,Divorced,Yes,Yes,Yes,3,Cybercrime,13,Poor,Escaped,4.2,No,Moderate,High,2,Low,2,No,Yes,"61, Som Chowk, Hubli–Dharwad 878858"
72,Advika,Soni,15,68,Other,Graduate,Unemployed,Widowed,Yes,No,No,1,Assault,5,Average,Escaped,4.28,Yes,Weak,Low,2,Low,0,Yes,Yes,"32/51, Tailor Path, Panipat 131879"
73,Diya,Badami,16,36,Other,Postgraduate,Self-Employed,Divorced,No,No,No,6,Assault,13,Average,Completed Sentence,8.73,No,Moderate,High,4,Middle,4,No,Yes,"H.No. 057, Korpal Path, Berhampur-471590"
74,Samuel,Tripathi,25,69,Other,Postgraduate,Employed,Married,Yes,Yes,Yes,6,Fraud,16,Average,Escaped,4.39,Yes,Weak,Moderate,3,Middle,5,Yes,Yes,"227, Rege Path, Vadodara 314103"
75,Sai,Murty,22,65,Female,Postgraduate,Self-Employed,Widowed,Yes,Yes,No,8,Drug Trafficking,8,Poor,Parole,1.81,Yes,Strong,High,1,Low,3,No,No,"H.No. 076, Loke Ganj, Purnia-257928"
76,Reva,Varughese,23,25,Male,Secondary,Self-Employed,Widowed,Yes,Yes,No,4,Murder,11,Poor,Completed Sentence,3.15,Yes,Moderate,High,0,High,2,Yes,No,"07, Chaudhry Nagar, Bokaro-954876"
77,Lekha,Mishra,13,26,Female,Higher Secondary,Unemployed,Widowed,Yes,Yes,No,6,Fraud,10,Good,Escaped,1.26,Yes,Strong,Moderate,2,Low,0,No,No,"92/699, Saraf Road, Muzaffarpur 354711"
78,Abha,Radhakrishnan,23,50,Male,Higher Secondary,Self-Employed,Divorced,No,Yes,Yes,0,Cybercrime,1,Good,Escaped,2.21,Yes,Moderate,Moderate,0,High,2,Yes,Yes,"94/09, Bahl Marg, Delhi 610757"
79,Laban,Peri,17,47,Male,Graduate,Unemployed,Widowed,Yes,No,Yes,7,Murder,6,Poor,Escaped,6.64,No,Strong,Moderate,0,Middle,5,No,No,"92/139, Jaggi Path, Mumbai-848461"
80,Udarsh,Sem,13,29,Male,Graduate,Self-Employed,Divorced,No,No,Yes,7,Drug Trafficking,8,Poor,Completed Sentence,7.29,No,Strong,Low,5,Middle,4,Yes,No,"94/46, Date Zila, Tadipatri-310621"
81,Pranit,Samra,28,60,Other,Postgraduate,Self-Employed,Single,No,Yes,No,8,Drug Trafficking,8,Poor,Completed Sentence,1.56,No,Strong,Moderate,1,Low,4,No,Yes,"16/725, Sinha Marg, Katihar 857914"
82,Imaran,Brahmbhatt,27,48,Female,Graduate,Unemployed,Divorced,No,Yes,No,3,Cybercrime,7,Good,Parole,3.96,Yes,Moderate,High,2,High,0,No,No,"49/282, Madan Street, Eluru-248426"
83,Christopher,Bala,12,31,Male,Higher Secondary,Self-Employed,Divorced,No,Yes,Yes,0,Drug Trafficking,1,Good,Parole,9.7,No,Weak,High,5,Middle,0,Yes,No,"89/95, Nadig Ganj, Thiruvananthapuram 132646"
84,Ijaya,Prabhu,21,21,Male,Graduate,Self-Employed,Divorced,Yes,Yes,No,10,Theft,1,Good,Escaped,9.06,No,Moderate,High,1,Middle,3,No,No,"H.No. 052, Dugar Zila, Buxar 543679"
85,Anika,Jha,18,32,Other,Secondary,Unemployed,Single,No,No,No,10,Drug Trafficking,15,Good,Parole,1.2,Yes,Moderate,Low,3,Middle,3,No,No,"87/890, Kulkarni, Aizawl 531383"
86,Dhriti,Minhas,25,31,Male,No Formal Education,Self-Employed,Widowed,Yes,No,No,2,Theft,19,Average,Parole,7.49,Yes,Strong,Low,5,Low,0,No,No,"H.No. 706, Kalla Street, Srikakulam-000684"
87,Kabir,Rege,12,20,Other,Secondary,Employed,Widowed,Yes,Yes,Yes,1,Murder,13,Poor,Parole,6.33,Yes,Strong,Low,3,Middle,3,Yes,Yes,"H.No. 37, Balakrishnan Marg, Chandrapur 382621"
88,Rushil,Choudhury,30,58,Male,Secondary,Employed,Widowed,Yes,No,Yes,10,Assault,6,Good,Parole,1.69,No,Strong,Moderate,5,Low,5,Yes,Yes,"930, Sethi Road, Pimpri-Chinchwad 036099"
89,Jasmit,Sankaran,15,48,Male,Graduate,Employed,Widowed,Yes,No,No,4,Theft,18,Poor,Parole,9.34,No,Weak,High,2,Middle,0,No,Yes,"H.No. 739, Nair Chowk, Dhule 622100"
90,Praneel,Bawa,23,47,Female,Graduate,Unemployed,Single,No,No,No,2,Drug Trafficking,7,Average,Parole,9.92,No,Weak,Low,4,Middle,4,No,No,"H.No. 607, Rajagopal Marg, Jamalpur-765467"
91,Henry,Muni,10,58,Male,No Formal Education,Unemployed,Single,Yes,Yes,Yes,1,Theft,7,Average,Escaped,8.46,Yes,Weak,Moderate,1,High,2,Yes,Yes,"49, Om Street, Alappuzha-063241"
92,Triya,Goda,24,54,Other,Higher Secondary,Self-Employed,Married,Yes,No,Yes,9,Murder,18,Average,Parole,2.06,No,Weak,Low,5,High,1,No,No,"70/81, Kapadia, Kadapa-557939"
93,Damini,Chowdhury,20,23,Other,Primary,Self-Employed,Single,No,Yes,Yes,4,Theft,17,Poor,Completed Sentence,8.53,Yes,Moderate,Moderate,4,High,1,No,No,"91/858, Mall Road, Jammu 685127"
94,Lekha,Wali,20,49,Other,Primary,Self-Employed,Divorced,Yes,No,No,4,Drug Trafficking,17,Good,Parole,7.78,Yes,Strong,Moderate,2,High,1,Yes,Yes,"95/53, Dada Road, Haridwar 019446"
95,Xavier,Badami,29,65,Male,Higher Secondary,Employed,Widowed,No,No,Yes,10,Drug Trafficking,6,Good,Parole,3.9,No,Moderate,High,1,Low,2,No,No,"H.No. 095, Ratti Nagar, Jaunpur 407919"
96,Girindra,Hans,11,40,Other,No Formal Education,Employed,Widowed,No,Yes,No,0,Theft,12,Poor,Parole,6.59,No,Strong,Low,3,Middle,3,No,No,"H.No. 502, Ahuja, Morena-781388"
97,Baghyawati,Mallick,14,49,Other,Postgraduate,Self-Employed,Married,No,No,No,1,Fraud,2,Average,Parole,1.96,Yes,Strong,Moderate,5,Middle,3,No,Yes,"H.No. 132, Kaul Nagar, Kurnool-561195"
98,Forum,Mani,16,32,Other,Higher Secondary,Self-Employed,Divorced,No,No,Yes,3,Drug Trafficking,8,Poor,Escaped,1.67,Yes,Weak,High,2,Middle,0,Yes,Yes,"99/211, Bhargava Circle, Surendranagar Dudhrej 986099"
99,Pushti,Agrawal,26,35,Female,No Formal Education,Employed,Married,No,Yes,No,6,Theft,7,Poor,Escaped,2.56,No,Strong,High,2,Low,1,Yes,No,"H.No. 54, Dash Chowk, Hubli–Dharwad 247146"
100,Rachit,Halder,24,40,Other,Secondary,Unemployed,Single,Yes,Yes,No,4,Fraud,11,Poor,Completed Sentence,1.87,Yes,Strong,High,2,Low,0,Yes,Yes,"25/13, Sodhi Chowk, Nagpur-314619"
101,Chasmum,Vala,20,56,Male,Secondary,Unemployed,Widowed,No,No,Yes,2,Assault,13,Good,Completed Sentence,2.05,Yes,Strong,High,0,Middle,3,No,Yes,"H.No. 94, Varghese Path, Tirunelveli 445553"
102,Riya,Char,18,21,Male,Graduate,Self-Employed,Widowed,Yes,No,No,7,Theft,16,Average,Parole,2.55,No,Weak,High,1,Low,0,Yes,No,"H.No. 732, Nanda Zila, Nanded 882742"
103,Jason,Bassi,15,46,Other,Higher Secondary,Unemployed,Widowed,Yes,No,No,10,Cybercrime,16,Good,Parole,8.09,Yes,Weak,Low,5,High,1,Yes,Yes,"H.No. 756, Saha Circle, Tezpur 646633"
104,Krishna,Kashyap,13,58,Female,Secondary,Unemployed,Divorced,No,Yes,No,1,Fraud,6,Good,Parole,7.45,No,Moderate,High,5,Middle,5,No,Yes,"00/28, Bath Chowk, Farrukhabad 938340"
105,Neelima,Pathak,10,35,Female,Graduate,Self-Employed,Divorced,No,Yes,Yes,9,Cybercrime,15,Poor,Completed Sentence,7.74,No,Weak,Moderate,5,High,0,No,No,"H.No. 820, Khanna Zila, Fatehpur 735211"
106,Zayan,More,30,43,Male,Postgraduate,Employed,Divorced,Yes,Yes,No,10,Cybercrime,16,Poor,Parole,1.82,No,Strong,Low,0,Middle,2,Yes,Yes,"130, Peri Chowk, Burhanpur-953690"
107,Diya,Vaidya,18,36,Female,Graduate,Unemployed,Married,No,Yes,No,7,Fraud,9,Poor,Parole,4.93,No,Moderate,Moderate,1,Middle,1,No,Yes,"16/92, Vaidya Zila, Madanapalle 131111"
108,Lakshit,Mann,27,64,Other,Postgraduate,Employed,Married,Yes,No,Yes,5,Murder,3,Good,Completed Sentence,1.38,Yes,Weak,High,1,High,4,No,No,"80/240, Nair, Meerut-028982"
109,Idika,Saraf,11,47,Female,Higher Secondary,Unemployed,Widowed,Yes,No,Yes,4,Theft,20,Poor,Completed Sentence,3.77,No,Moderate,High,0,Low,0,No,Yes,"82, Sethi Path, Gulbarga-177658"
110,Pahal,Shukla,18,64,Other,Primary,Employed,Widowed,Yes,Yes,No,1,Fraud,2,Good,Parole,4.73,Yes,Weak,Moderate,0,High,4,No,Yes,"722, Bora Zila, Baranagar-794228"
111,Chandran,Johal,22,28,Female,Secondary,Unemployed,Widowed,Yes,No,Yes,0,Cybercrime,1,Poor,Completed Sentence,3.53,No,Strong,Moderate,5,Middle,4,No,No,"H.No. 42, Dash Nagar, Vijayawada 362736"
112,Hemang,Nazareth,16,52,Female,Primary,Unemployed,Divorced,Yes,No,Yes,9,Assault,7,Good,Parole,3.07,Yes,Strong,Low,3,High,0,No,Yes,"03, Gokhale, Tiruvottiyur-447513"
113,Darsh,Loyal,14,44,Male,Higher Secondary,Employed,Widowed,No,Yes,Yes,5,Fraud,3,Average,Parole,1.89,No,Moderate,Moderate,0,High,1,No,Yes,"H.No. 606, Lad Circle, Bhiwandi-314611"
114,Kalpit,Sur,15,27,Male,Higher Secondary,Employed,Widowed,Yes,Yes,No,1,Cybercrime,2,Poor,Parole,8.14,Yes,Weak,Low,2,Middle,3,No,No,"H.No. 46, Chokshi Chowk, Bikaner 621582"
115,Tanmayi,Konda,10,45,Other,Graduate,Self-Employed,Divorced,Yes,No,Yes,9,Assault,14,Poor,Escaped,7.76,No,Moderate,High,1,High,2,No,Yes,"04/95, Sarkar Nagar, Gudivada 093345"
116,Alexander,Ramachandran,21,69,Female,Secondary,Employed,Married,No,Yes,No,0,Fraud,6,Poor,Parole,2.66,Yes,Weak,Moderate,3,Middle,3,Yes,No,"27, Pathak Nagar, Shimoga-251161"
117,Dayamai,Bhattacharyya,12,18,Other,Graduate,Employed,Single,Yes,No,Yes,9,Theft,18,Average,Escaped,2.73,Yes,Moderate,Moderate,1,High,4,No,No,"38/211, Tailor Circle, Madurai 209869"
118,Vihaan,Bir,14,35,Female,Primary,Unemployed,Married,No,No,Yes,9,Murder,3,Average,Completed Sentence,6.74,No,Moderate,Low,5,Middle,2,No,No,"H.No. 85, Rajan Zila, Sikar-487468"
